area_name,trained_at,test_accuracy,test_precision,test_recall,test_f1,cv_accuracy,n_train,n_test,n_features,start_date,end_date,model_path,label_mode,n_classes
Nyandarua,2026-09-02T13:19:00Z,0.9090909090909092,0.90625,1.0,0.9508196721311476,0.907051282051282,128,33,26,2024-03-01,2024-08-31,/Users/christine.muthee/Documents/AI4SmallScaleFarms_Africa/data/models/nyandarua_rf_best_model.pkl,,
Nakuru,2026-09-02T15:21:34Z,0.4032258064516129,0.2496919746919747,0.37647690655209454,0.2645320197044335,0.5265306122448979,245,62,26,2024-03-01,2024-08-31,/Users/christine.muthee/Documents/AI4SmallScaleFarms_Africa/data/models/nakuru_rf_best_model.pkl,multiclass,7.0
